country_id,gender_id,age_group_id,suicides_per_100k,mhd_prevalence_percent
ATG,BTSX,1,0.0,
ATG,BTSX,2,0.0,
ATG,BTSX,3,0.0,
ATG,BTSX,4,0.0,
ATG,BTSX,6,0.0,
ATG,BTSX,7,0.0,
ATG,BTSX,8,0.0,
ATG,FMLE,1,0.0,
ATG,FMLE,2,0.0,
ATG,FMLE,3,0.0,
ATG,FMLE,4,0.0,
ATG,FMLE,6,0.0,
ATG,FMLE,7,0.0,
ATG,FMLE,8,0.0,
ATG,MLE,1,0.0,
ATG,MLE,2,0.0,
ATG,MLE,3,0.0,
ATG,MLE,4,0.0,
ATG,MLE,5,0.0,
ATG,MLE,6,0.0,
ATG,MLE,7,0.0,
ATG,MLE,8,0.0,
BRB,BTSX,1,0.0,
BRB,BTSX,2,0.0,
BRB,BTSX,5,0.0,
BRB,BTSX,6,0.0,
BRB,BTSX,8,0.0,
BRB,FMLE,1,0.0,
BRB,FMLE,2,0.0,
BRB,FMLE,3,0.0,
BRB,FMLE,4,0.0,
BRB,FMLE,5,0.0,
BRB,FMLE,6,0.0,
BRB,FMLE,8,0.0,
BRB,MLE,1,0.0,
BRB,MLE,2,0.0,
BRB,MLE,5,0.0,
BRB,MLE,6,0.0,
BRB,MLE,7,0.0,
BRB,MLE,8,0.0,
BRN,BTSX,1,0.0,
BRN,BTSX,5,0.0,
BRN,BTSX,6,0.0,
BRN,FMLE,1,0.0,
BRN,FMLE,3,0.0,
BRN,FMLE,5,0.0,
BRN,FMLE,6,0.0,
BRN,FMLE,7,0.0,
BRN,FMLE,8,0.0,
BRN,MLE,1,0.0,
BRN,MLE,5,0.0,
BRN,MLE,6,0.0,
CRI,FMLE,7,0.0,
CRI,FMLE,8,0.0,
GRD,BTSX,1,0.0,
GRD,BTSX,2,0.0,
GRD,BTSX,3,0.0,
GRD,BTSX,4,0.0,
GRD,BTSX,5,0.0,
GRD,BTSX,7,0.0,
GRD,BTSX,8,0.0,
GRD,FMLE,1,0.0,
GRD,FMLE,2,0.0,
GRD,FMLE,3,0.0,
GRD,FMLE,4,0.0,
GRD,FMLE,5,0.0,
GRD,FMLE,6,0.0,
GRD,FMLE,7,0.0,
GRD,FMLE,8,0.0,
GRD,MLE,1,0.0,
GRD,MLE,2,0.0,
GRD,MLE,3,0.0,
GRD,MLE,4,0.0,
GRD,MLE,5,0.0,
GRD,MLE,7,0.0,
GRD,MLE,8,0.0,
GUY,FMLE,8,0.0,
ISL,BTSX,7,0.0,
ISL,BTSX,8,0.0,
ISL,FMLE,2,0.0,
ISL,FMLE,3,0.0,
ISL,FMLE,7,0.0,
ISL,FMLE,8,0.0,
ISL,MLE,7,0.0,
ISL,MLE,8,0.0,
MLT,FMLE,8,0.0,
MUS,FMLE,7,0.0,
MUS,FMLE,8,0.0,
VCT,BTSX,4,0.0,
VCT,BTSX,5,0.0,
VCT,BTSX,6,0.0,
VCT,BTSX,8,0.0,
VCT,FMLE,1,0.0,
VCT,FMLE,2,0.0,
VCT,FMLE,3,0.0,
VCT,FMLE,4,0.0,
VCT,FMLE,5,0.0,
VCT,FMLE,6,0.0,
VCT,FMLE,7,0.0,
VCT,FMLE,8,0.0,
VCT,MLE,4,0.0,
VCT,MLE,5,0.0,
VCT,MLE,6,0.0,
VCT,MLE,8,0.0,
BRB,BTSX,3,0.35,
PAN,FMLE,3,0.47,
ARM,FMLE,3,0.56,
PAN,FMLE,4,0.56,
MDV,FMLE,3,0.57,
CRI,FMLE,6,0.58,
STP,FMLE,1,0.65,
HND,FMLE,2,0.67,
MWI,FMLE,3,0.67,
MDV,FMLE,4,0.68,
STP,FMLE,2,0.68,
VEN,FMLE,2,0.69,
BRB,BTSX,4,0.71,
BRB,MLE,3,0.72,
KWT,FMLE,1,0.72,
HND,FMLE,1,0.73,
KWT,FMLE,5,0.73,
VEN,FMLE,3,0.74,
HND,FMLE,3,0.75,
KWT,FMLE,4,0.76,
MLT,FMLE,7,0.76,
VEN,FMLE,4,0.76,
IRL,FMLE,8,0.78,
JOR,FMLE,1,0.78,
QAT,FMLE,5,0.78,
OMN,FMLE,4,0.8,
GRC,FMLE,1,0.81,
GHA,FMLE,1,0.84,
SYR,FMLE,1,0.84,
NGA,FMLE,1,0.85,
SYR,FMLE,5,0.85,
CYP,FMLE,1,0.86,
PHL,FMLE,4,0.86,
SYR,FMLE,4,0.86,
PHL,FMLE,5,0.87,
IDN,FMLE,3,0.88,
GAB,FMLE,1,0.91,
IDN,FMLE,2,0.91,
VCT,BTSX,2,0.91,
GHA,FMLE,2,0.92,
JOR,FMLE,4,0.92,
QAT,FMLE,4,0.92,
SYR,FMLE,3,0.92,
JAM,FMLE,1,0.93,
NGA,FMLE,2,0.93,
OMN,FMLE,3,0.95,
ARM,FMLE,1,0.97,
NIC,FMLE,5,0.97,
ITA,FMLE,1,0.98,
JOR,FMLE,2,0.98,
MRT,FMLE,1,0.98,
SYR,FMLE,2,0.98,
IDN,FMLE,1,1.02,
KWT,FMLE,6,1.03,
SRB,FMLE,1,1.03,
TUR,FMLE,4,1.04,
NIC,FMLE,6,1.05,
VEN,FMLE,6,1.05,
JOR,FMLE,5,1.06,
JOR,FMLE,3,1.07,
PHL,FMLE,3,1.07,
MDV,FMLE,5,1.08,
BHS,FMLE,5,1.09,
TUR,FMLE,5,1.09,
VEN,FMLE,5,1.09,
JAM,FMLE,5,1.1,
CYP,FMLE,5,1.11,
MUS,FMLE,5,1.11,
SLV,FMLE,5,1.12,
TUR,FMLE,3,1.12,
BHS,FMLE,6,1.14,
MLT,FMLE,6,1.14,
MMR,FMLE,3,1.15,
VEN,FMLE,1,1.15,
MMR,FMLE,1,1.17,
PAN,FMLE,2,1.17,
STP,FMLE,3,1.17,
TUR,FMLE,2,1.17,
KEN,FMLE,1,1.18,
KWT,FMLE,2,1.18,
KWT,FMLE,3,1.18,
ALB,FMLE,3,1.19,
MDV,FMLE,2,1.2,
BHR,FMLE,4,1.21,
BHR,FMLE,5,1.21,
MMR,FMLE,2,1.21,
PHL,FMLE,1,1.21,
UGA,FMLE,1,1.21,
ARM,FMLE,2,1.22,
MRT,FMLE,2,1.22,
SYR,FMLE,6,1.23,
THA,FMLE,1,1.23,
KWT,FMLE,7,1.24,
MDV,FMLE,1,1.24,
BHS,FMLE,4,1.25,
BHS,FMLE,7,1.26,
SSD,FMLE,1,1.26,
VEN,FMLE,7,1.26,
ARM,BTSX,1,1.29,
COL,FMLE,6,1.29,
COL,FMLE,7,1.29,
GHA,FMLE,3,1.29,
MMR,FMLE,4,1.29,
JAM,FMLE,3,1.3,
JAM,FMLE,4,1.3,
MYS,FMLE,1,1.3,
PER,FMLE,5,1.3,
AGO,FMLE,1,1.31,
ARM,FMLE,4,1.31,
COD,FMLE,1,1.32,
GRC,FMLE,8,1.32,
LCA,FMLE,1,1.32,
VCT,BTSX,1,1.32,
CYP,FMLE,2,1.33,
MWI,FMLE,1,1.33,
AZE,FMLE,1,1.34,
GRC,FMLE,7,1.34,
OMN,FMLE,5,1.35,
AZE,FMLE,2,1.36,
COL,FMLE,5,1.36,
PER,FMLE,4,1.36,
DZA,FMLE,5,1.37,
IDN,FMLE,4,1.37,
PER,FMLE,3,1.37,
BLZ,FMLE,3,1.38,
GMB,FMLE,1,1.38,
TZA,FMLE,1,1.38,
MEX,FMLE,6,1.4,
JAM,FMLE,2,1.41,
PHL,FMLE,2,1.41,
UGA,FMLE,2,1.41,
COG,FMLE,1,1.42,
SAU,FMLE,1,1.43,
ARM,BTSX,2,1.44,
SEN,FMLE,1,1.44,
VEN,FMLE,8,1.45,
CYP,FMLE,6,1.47,
GUY,FMLE,7,1.47,
ROU,FMLE,1,1.47,
BRB,MLE,4,1.48,
SYC,FMLE,5,1.48,
ARM,FMLE,5,1.49,
OMN,FMLE,2,1.49,
PAN,FMLE,6,1.49,
AZE,FMLE,3,1.5,
ETH,FMLE,1,1.52,
LBN,FMLE,4,1.52,
ISR,FMLE,1,1.53,
BHS,FMLE,1,1.54,
BTN,FMLE,1,1.54,
GEO,FMLE,2,1.54,
MWI,FMLE,2,1.54,
SSD,FMLE,2,1.54,
ALB,FMLE,2,1.55,
MEX,FMLE,5,1.56,
JOR,BTSX,1,1.57,
STP,BTSX,1,1.57,
ARM,MLE,1,1.58,
HND,BTSX,1,1.58,
MMR,FMLE,5,1.61,
SYC,FMLE,3,1.61,
COL,FMLE,4,1.62,
IDN,FMLE,5,1.63,
PRT,FMLE,1,1.63,
SYC,FMLE,1,1.64,
ALB,FMLE,5,1.65,
BGD,FMLE,5,1.65,
SYC,FMLE,4,1.65,
TZA,FMLE,2,1.66,
CHL,FMLE,8,1.67,
COL,FMLE,3,1.67,
ESP,FMLE,1,1.67,
ARE,FMLE,6,1.67,
BGD,FMLE,2,1.68,
JAM,BTSX,1,1.68,
SYR,FMLE,7,1.68,
ARM,MLE,2,1.69,
NGA,FMLE,3,1.69,
ITA,FMLE,2,1.7,
PNG,FMLE,1,1.7,
SVK,FMLE,1,1.7,
LBN,FMLE,5,1.71,
MYS,FMLE,2,1.71,
NIC,FMLE,4,1.71,
ZMB,FMLE,1,1.71,
VCT,BTSX,3,1.72,
AZE,FMLE,4,1.73,
GRC,FMLE,2,1.73,
IRL,FMLE,7,1.73,
CPV,FMLE,1,1.74,
TCD,FMLE,1,1.74,
LVA,FMLE,1,1.74,
PER,FMLE,2,1.74,
TUR,FMLE,6,1.74,
BHS,FMLE,3,1.75,
ERI,FMLE,1,1.75,
MEX,FMLE,4,1.75,
LCA,FMLE,2,1.75,
ARM,FMLE,6,1.76,
JAM,FMLE,6,1.76,
PAN,FMLE,5,1.76,
AGO,FMLE,2,1.78,
GAB,FMLE,2,1.78,
ARE,FMLE,1,1.78,
SLV,FMLE,3,1.79,
MRT,BTSX,1,1.79,
TUN,FMLE,5,1.79,
VCT,MLE,2,1.8,
TUN,FMLE,4,1.8,
LBR,FMLE,1,1.81,
DZA,FMLE,6,1.82,
PER,FMLE,6,1.82,
NGA,BTSX,1,1.83,
CIV,FMLE,1,1.84,
BGD,FMLE,3,1.85,
PAN,FMLE,7,1.85,
DZA,FMLE,4,1.86,
COD,FMLE,2,1.86,
MRT,FMLE,3,1.87,
SYC,FMLE,2,1.87,
DJI,FMLE,1,1.88,
MYS,FMLE,3,1.88,
QAT,FMLE,1,1.88,
ALB,FMLE,4,1.89,
ALB,FMLE,6,1.89,
HND,BTSX,2,1.89,
SVK,FMLE,2,1.89,
CYP,FMLE,4,1.91,
DOM,FMLE,3,1.91,
HND,FMLE,4,1.92,
HND,FMLE,5,1.92,
SAU,FMLE,7,1.92,
CUB,FMLE,1,1.94,
BRN,FMLE,2,1.95,
ETH,FMLE,2,1.95,
MDG,FMLE,1,1.95,
PNG,FMLE,2,1.95,
FRA,FMLE,1,1.96,
UGA,FMLE,3,1.96,
NER,FMLE,1,1.97,
STP,FMLE,4,1.97,
BTN,FMLE,2,1.98,
PHL,BTSX,1,1.98,
YEM,BTSX,4,10.0,
AGO,MLE,2,10.01,
CRI,BTSX,2,10.01,
LVA,BTSX,1,10.01,
SAU,BTSX,3,10.01,
SVN,FMLE,8,10.01,
TKM,BTSX,7,10.01,
BLR,FMLE,4,10.02,
SYR,MLE,8,10.02,
GUY,FMLE,6,10.03,
MEX,BTSX,8,10.03,
CHE,MLE,1,10.03,
CPV,BTSX,2,10.04,
NIC,MLE,1,10.04,
PRY,BTSX,8,10.04,
PRT,MLE,2,10.04,
DEU,BTSX,3,10.05,
BOL,BTSX,4,10.06,
ROU,MLE,2,10.06,
LAO,MLE,1,10.07,
HRV,MLE,1,10.08,
NPL,BTSX,3,10.08,
SRB,MLE,2,10.08,
DNK,MLE,2,10.11,
CHL,BTSX,2,10.12,
MEX,MLE,1,10.13,
CYP,MLE,5,10.14,
UZB,FMLE,8,10.14,
AUS,FMLE,4,10.15,
TKM,MLE,5,10.15,
TCD,BTSX,3,10.17,
CUB,FMLE,5,10.17,
MAR,BTSX,4,10.17,
BEL,MLE,1,10.18,
BGR,MLE,2,10.18,
THA,FMLE,8,10.21,
TTO,BTSX,4,10.21,
BGD,MLE,6,10.22,
DOM,MLE,3,10.22,
FRA,FMLE,6,10.22,
MYS,MLE,3,10.22,
LCA,BTSX,3,10.22,
TON,BTSX,7,10.22,
GEO,BTSX,3,10.24,
LAO,MLE,3,10.24,
ESP,BTSX,4,10.24,
HRV,FMLE,4,10.26,
IRN,MLE,3,10.26,
ESP,BTSX,6,10.26,
BGD,BTSX,7,10.27,
QAT,BTSX,7,10.27,
LBY,MLE,3,10.28,
GNQ,MLE,3,10.3,
ESP,BTSX,5,10.3,
DOM,MLE,2,10.31,
ESP,MLE,3,10.31,
ISL,FMLE,1,10.33,
NOR,FMLE,6,10.33,
PNG,MLE,6,10.33,
SYC,BTSX,5,10.34,
GBR,MLE,6,10.34,
YEM,FMLE,8,10.35,
KIR,FMLE,5,10.36,
LAO,MLE,4,10.36,
SGP,BTSX,4,10.36,
SYC,BTSX,4,10.37,
IRQ,BTSX,7,10.38,
MLT,BTSX,4,10.38,
NOR,FMLE,4,10.38,
SRB,BTSX,3,10.39,
URY,FMLE,3,10.39,
VUT,FMLE,2,10.39,
AZE,BTSX,7,10.4,
SLE,BTSX,3,10.41,
BRA,BTSX,6,10.42,
WSM,FMLE,5,10.42,
CMR,FMLE,4,10.44,
FJI,BTSX,3,10.45,
KAZ,FMLE,1,10.45,
MAR,MLE,1,10.45,
URY,FMLE,2,10.45,
MKD,MLE,2,10.47,
CHE,BTSX,3,10.47,
AFG,MLE,3,10.48,
ARG,BTSX,5,10.48,
SYC,BTSX,3,10.48,
MRT,FMLE,5,10.49,
CAN,BTSX,6,10.51,
NLD,BTSX,2,10.51,
CRI,BTSX,3,10.52,
ECU,BTSX,6,10.52,
MYS,BTSX,5,10.52,
TTO,BTSX,3,10.52,
BLZ,BTSX,5,10.53,
ECU,BTSX,2,10.53,
GRD,MLE,6,10.53,
LVA,FMLE,8,10.53,
MNE,FMLE,4,10.53,
ECU,BTSX,7,10.55,
NLD,FMLE,6,10.55,
BGR,BTSX,4,10.57,
GEO,MLE,1,10.57,
BLR,FMLE,6,10.59,
CYP,MLE,4,10.61,
CRI,BTSX,5,10.62,
ERI,BTSX,2,10.62,
JPN,FMLE,5,10.64,
SDN,MLE,7,10.65,
LBY,BTSX,8,10.66,
SWZ,FMLE,4,10.67,
MLT,MLE,2,10.67,
MEX,MLE,6,10.67,
SGP,FMLE,6,10.69,
KIR,FMLE,6,10.7,
MYS,MLE,2,10.7,
MLT,BTSX,3,10.7,
CHL,BTSX,6,10.71,
BIH,BTSX,3,10.72,
AFG,BTSX,6,10.73,
STP,MLE,7,10.73,
TLS,BTSX,6,10.74,
UZB,BTSX,4,10.74,
EGY,BTSX,8,10.75,
PER,MLE,8,10.75,
FSM,FMLE,4,10.76,
MAR,BTSX,5,10.76,
HTI,FMLE,8,10.77,
KHM,MLE,4,10.79,
SWE,FMLE,7,10.79,
DZA,MLE,8,10.8,
TKM,MLE,1,10.8,
KGZ,FMLE,7,10.82,
NZL,BTSX,7,10.83,
UGA,MLE,3,10.83,
ALB,MLE,4,10.84,
BWA,BTSX,1,10.84,
DNK,FMLE,5,10.84,
NER,MLE,3,10.84,
CRI,MLE,7,10.85,
GNQ,BTSX,3,10.85,
NLD,FMLE,4,10.85,
SGP,BTSX,3,10.85,
BRN,MLE,2,10.86,
SUR,FMLE,3,10.87,
RUS,FMLE,4,10.89,
COM,MLE,3,10.9,
MLT,MLE,5,10.9,
HND,BTSX,7,10.91,
GBR,MLE,7,10.91,
DJI,MLE,2,10.92,
AZE,MLE,6,10.93,
MAR,BTSX,3,10.93,
IRN,MLE,1,10.94,
BGR,MLE,3,10.96,
ITA,MLE,4,10.96,
JPN,FMLE,8,10.96,
PAK,BTSX,4,10.97,
CHE,FMLE,4,10.97,
SLV,BTSX,3,10.98,
SWE,BTSX,1,10.98,
MKD,MLE,3,10.99,
GUY,MLE,6,100.2,
CMR,FMLE,8,100.7,
MDG,BTSX,8,100.9,
LBR,FMLE,8,101.3,
SVN,MLE,8,102.4,
COM,BTSX,8,102.7,
SWZ,MLE,6,104.3,
ZWE,FMLE,8,105.0,
SWZ,BTSX,8,105.8,
GUY,MLE,3,105.8,
GUY,MLE,7,106.3,
CUB,MLE,8,106.4,
ZAF,MLE,8,106.6,
GIN,FMLE,8,106.9,
LSO,BTSX,6,107.1,
LSO,BTSX,7,107.5,
NER,FMLE,8,108.9,
TGO,MLE,7,108.9,
KEN,MLE,7,109.6,
LCA,BTSX,5,11.0,
CRI,BTSX,1,11.01,
FIN,FMLE,1,11.01,
JPN,FMLE,6,11.02,
ARG,BTSX,6,11.03,
SWE,FMLE,2,11.05,
VNM,MLE,2,11.05,
CAN,BTSX,1,11.06,
AFG,FMLE,4,11.07,
IND,MLE,1,11.07,
USA,FMLE,4,11.07,
BEL,FMLE,3,11.08,
FJI,FMLE,7,11.08,
LAO,BTSX,7,11.09,
RWA,MLE,3,11.09,
USA,FMLE,5,11.11,
ALB,MLE,7,11.12,
ISR,MLE,3,11.12,
PRK,BTSX,4,11.13,
TUN,MLE,7,11.13,
ARG,BTSX,2,11.14,
RUS,FMLE,6,11.14,
TJK,MLE,5,11.14,
GBR,BTSX,5,11.15,
CZE,BTSX,2,11.16,
MNE,BTSX,1,11.16,
BEN,BTSX,3,11.17,
YEM,BTSX,3,11.18,
CHL,MLE,1,11.19,
DOM,MLE,4,11.23,
MAR,MLE,2,11.24,
BHS,BTSX,8,11.26,
DJI,FMLE,4,11.26,
ISL,FMLE,6,11.26,
NPL,BTSX,1,11.26,
GNQ,FMLE,2,11.31,
GTM,BTSX,1,11.32,
LTU,FMLE,5,11.32,
KGZ,BTSX,6,11.34,
SAU,MLE,4,11.34,
HTI,FMLE,1,11.35,
CHN,BTSX,5,11.36,
GNB,MLE,2,11.36,
HTI,FMLE,3,11.36,
MEX,MLE,4,11.36,
IND,FMLE,5,11.37,
TON,FMLE,8,11.38,
AUS,BTSX,6,11.39,
AUT,FMLE,7,11.39,
HTI,FMLE,2,11.4,
MDV,MLE,6,11.4,
GIN,MLE,2,11.41,
GIN,FMLE,4,11.42,
BGR,FMLE,7,11.43,
KEN,BTSX,3,11.44,
BFA,BTSX,3,11.46,
ZWE,BTSX,1,11.46,
FJI,BTSX,5,11.47,
GNB,BTSX,3,11.48,
MMR,MLE,7,11.48,
UZB,BTSX,3,11.48,
VNM,MLE,3,11.5,
MLT,MLE,7,11.51,
GRC,MLE,6,11.52,
RUS,FMLE,3,11.52,
SLE,FMLE,4,11.55,
CAF,MLE,1,11.56,
MAR,BTSX,7,11.56,
SEN,MLE,3,11.58,
SOM,MLE,2,11.58,
YEM,MLE,2,11.59,
ECU,MLE,4,11.61,
HRV,FMLE,5,11.62,
JPN,FMLE,4,11.62,
MYS,MLE,4,11.62,
CUB,BTSX,3,11.63,
KGZ,BTSX,4,11.63,
ROU,FMLE,8,11.63,
CHE,FMLE,5,11.63,
SYC,BTSX,2,11.64,
MOZ,BTSX,1,11.67,
CHE,MLE,2,11.67,
MAR,FMLE,8,11.68,
RWA,FMLE,5,11.68,
THA,BTSX,6,11.69,
COL,BTSX,8,11.7,
MLI,BTSX,4,11.7,
AUT,FMLE,4,11.71,
POL,BTSX,7,11.71,
HUN,FMLE,4,11.72,
NAM,FMLE,6,11.73,
DOM,BTSX,6,11.74,
GNQ,FMLE,3,11.74,
GBR,BTSX,3,11.74,
BHR,BTSX,7,11.76,
ARG,BTSX,1,11.77,
BRA,MLE,2,11.78,
IRL,BTSX,6,11.78,
CHL,BTSX,3,11.79,
CRI,BTSX,4,11.79,
LAO,MLE,2,11.79,
MUS,BTSX,4,11.79,
AUS,BTSX,1,11.8,
GEO,BTSX,4,11.8,
ISR,BTSX,7,11.82,
ZMB,MLE,2,11.82,
SUR,FMLE,1,11.83,
YEM,MLE,6,11.83,
COM,BTSX,4,11.84,
WSM,BTSX,4,11.84,
LAO,MLE,5,11.85,
SVN,FMLE,7,11.86,
CIV,FMLE,5,11.87,
LUX,BTSX,3,11.87,
MUS,BTSX,6,11.87,
MAR,BTSX,6,11.87,
TKM,MLE,6,11.87,
URY,FMLE,6,11.88,
BFA,MLE,2,11.9,
ETH,BTSX,4,11.9,
MDA,BTSX,2,11.9,
THA,BTSX,3,11.9,
SVN,FMLE,4,11.91,
SVK,BTSX,3,11.93,
IRN,MLE,2,11.94,
HRV,FMLE,6,11.95,
COG,MLE,7,110.1,
CPV,MLE,7,110.2,
CHN,MLE,8,110.6,
CAF,MLE,5,111.1,
KAZ,BTSX,8,111.5,
TCD,MLE,7,111.6,
GMB,FMLE,8,111.6,
KOR,BTSX,8,113.3,
ZWE,MLE,6,113.3,
COD,MLE,7,113.6,
SSD,BTSX,8,114.2,
URY,MLE,8,114.7,
ZMB,MLE,7,115.0,
MLI,BTSX,8,115.7,
SRB,MLE,8,115.9,
HUN,MLE,8,116.3,
MOZ,MLE,6,116.3,
BRN,MLE,8,116.5,
CMR,MLE,7,116.7,
BIH,MLE,8,116.8,
LSO,MLE,2,117.8,
SEN,MLE,7,118.0,
ERI,MLE,7,118.4,
GHA,MLE,7,118.6,
SWZ,MLE,5,119.6,
CHE,FMLE,6,12.01,
SGP,BTSX,6,12.02,
GIN,BTSX,3,12.03,
POL,BTSX,2,12.05,
LKA,FMLE,7,12.05,
TJK,MLE,6,12.05,
LUX,FMLE,6,12.06,
SLV,MLE,4,12.07,
GTM,MLE,4,12.07,
NOR,FMLE,5,12.07,
DEU,MLE,2,12.08,
MEX,MLE,2,12.08,
PRT,FMLE,7,12.09,
BHR,BTSX,3,12.1,
CUB,MLE,2,12.1,
EST,BTSX,2,12.11,
IRL,MLE,1,12.16,
BRA,BTSX,7,12.17,
TUN,BTSX,8,12.18,
SRB,FMLE,6,12.19,
MDV,BTSX,7,12.2,
BRA,MLE,1,12.21,
THA,MLE,1,12.22,
SVN,MLE,1,12.24,
BIH,MLE,2,12.25,
VNM,MLE,4,12.25,
HRV,BTSX,3,12.26,
IRN,BTSX,8,12.27,
POL,BTSX,3,12.28,
CHL,BTSX,5,12.29,
TJK,MLE,4,12.3,
UKR,BTSX,1,12.31,
BHR,MLE,4,12.32,
SWZ,FMLE,5,12.33,
GMB,BTSX,4,12.36,
GTM,MLE,3,12.36,
SSD,MLE,4,12.36,
MRT,BTSX,5,12.38,
MKD,BTSX,4,12.38,
KHM,BTSX,7,12.4,
CIV,BTSX,3,12.4,
PRY,MLE,7,12.4,
YEM,MLE,7,12.4,
CZE,MLE,1,12.41,
JPN,BTSX,1,12.44,
YEM,MLE,5,12.44,
CZE,BTSX,3,12.45,
LKA,FMLE,1,12.45,
LBR,MLE,4,12.46,
COG,MLE,3,12.47,
HUN,FMLE,6,12.47,
FJI,FMLE,1,12.48,
CUB,FMLE,6,12.5,
AUT,MLE,1,12.51,
TJK,BTSX,7,12.51,
NZL,BTSX,1,12.53,
ZAF,FMLE,4,12.53,
NZL,BTSX,8,12.54,
VUT,FMLE,6,12.56,
BGR,BTSX,5,12.58,
NLD,BTSX,3,12.58,
PAK,BTSX,7,12.58,
MMR,BTSX,8,12.59,
AFG,FMLE,5,12.6,
PAK,FMLE,8,12.6,
ZAF,FMLE,7,12.6,
BTN,MLE,5,12.63,
TJK,MLE,3,12.63,
TKM,MLE,7,12.63,
CAF,MLE,2,12.64,
ECU,BTSX,8,12.64,
COL,MLE,6,12.65,
IRQ,MLE,4,12.66,
HTI,BTSX,2,12.67,
FJI,MLE,4,12.68,
TTO,BTSX,2,12.68,
IDN,MLE,7,12.69,
IRL,BTSX,2,12.69,
KGZ,MLE,2,12.69,
PRT,FMLE,8,12.7,
MYS,FMLE,7,12.72,
SLV,MLE,2,12.73,
HUN,FMLE,5,12.73,
BHS,MLE,7,12.74,
LKA,BTSX,2,12.77,
SOM,BTSX,3,12.78,
MOZ,FMLE,4,12.79,
NZL,MLE,6,12.8,
SWE,FMLE,4,12.8,
TKM,MLE,4,12.8,
IRL,BTSX,3,12.81,
PHL,FMLE,8,12.81,
SEN,FMLE,5,12.81,
SSD,BTSX,5,12.81,
SYC,BTSX,6,12.83,
AGO,FMLE,5,12.84,
BIH,BTSX,4,12.86,
LTU,FMLE,8,12.86,
GTM,MLE,7,12.87,
MKD,FMLE,7,12.87,
VUT,FMLE,5,12.87,
TLS,BTSX,7,12.88,
TTO,BTSX,1,12.91,
ETH,FMLE,5,12.92,
